SamplingEvent,Year,StationName,Analyte,Conc,ConcUnits,Flow,LocType,Load,LoadUnits
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,MeHg- total,0.535,ng/L,5028,Outlet,6.581,g/day
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,POC,1.4,mg/L as C,5028,Outlet,17.22,"1,000 kg/day"
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,THg- filtered,3.5,ng/L,5028,Outlet,43.06,g/day
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,THg- particulate,18.3,ng/L,5028,Outlet,225.1,g/day
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,THg- total,21.8,ng/L,5028,Outlet,268.2,g/day
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,TOC,10,mg/L as C,5028,Outlet,123,"1,000 kg/day"
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,TSS,83,mg/L,5028,Outlet,1021,"1,000 kg/day"
"Dec 22-23, 2014",2014,Toe Drain at 1/2 Lisbon,VSS,10,mg/L,5028,Outlet,123,"1,000 kg/day"
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,Chloride- filtered,19.5,mg/L,2065.3,Inlet,98.53,"1,000 kg/day"
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,DOC,5.35,mg/L as C,2065.3,Inlet,27.03,"1,000 kg/day"
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,Iron- filtered,80.2,ug/L,2065.3,Inlet,405.2,kg/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,Manganese- filtered,4.5,ug/L,2065.3,Inlet,22.74,kg/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,MeHg- filtered,0.089,ng/L,2065.3,Inlet,0.4497,g/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,MeHg- particulate,0.122,ng/L,2065.3,Inlet,0.6165,g/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,MeHg- total,0.211,ng/L,2065.3,Inlet,1.066,g/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,POC,1.35,mg/L as C,2065.3,Inlet,6.821,"1,000 kg/day"
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,THg- filtered,5.78,ng/L,2065.3,Inlet,29.21,g/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,THg- particulate,33.2,ng/L,2065.3,Inlet,167.8,g/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,THg- total,39,ng/L,2065.3,Inlet,197.1,g/day
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,TOC,6.7,mg/L as C,2065.3,Inlet,33.85,"1,000 kg/day"
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,TSS,148,mg/L,2065.3,Inlet,747.8,"1,000 kg/day"
"Mar 15-16, 2016",2016,CCSB- Overflow Weir,VSS,15.5,mg/L,2065.3,Inlet,78.32,"1,000 kg/day"
"Mar 15-16, 2016",2016,Fremont Weir,Chloride- filtered,3.67,mg/L,61922.2,Inlet,556,"1,000 kg/day"
"Mar 15-16, 2016",2016,Fremont Weir,DOC,3.78,mg/L as C,61922.2,Inlet,572.7,"1,000 kg/day"
"Mar 15-16, 2016",2016,Fremont Weir,Iron- filtered,241,ug/L,61922.2,Inlet,36510,kg/day
"Mar 15-16, 2016",2016,Fremont Weir,Manganese- filtered,4.98,ug/L,61922.2,Inlet,754.5,kg/day
"Mar 15-16, 2016",2016,Fremont Weir,MeHg- filtered,0.033,ng/L,61922.2,Inlet,4.999,g/day
"Mar 15-16, 2016",2016,Fremont Weir,MeHg- particulate,0.076,ng/L,61922.2,Inlet,11.51,g/day
"Mar 15-16, 2016",2016,Fremont Weir,MeHg- total,0.109,ng/L,61922.2,Inlet,16.51,g/day
"Mar 15-16, 2016",2016,Fremont Weir,POC,1.4,mg/L as C,61922.2,Inlet,212.1,"1,000 kg/day"
"Mar 15-16, 2016",2016,Fremont Weir,THg- filtered,2.88,ng/L,61922.2,Inlet,436.3,g/day
"Mar 15-16, 2016",2016,Fremont Weir,THg- particulate,15.3,ng/L,61922.2,Inlet,2318,g/day
"Mar 15-16, 2016",2016,Fremont Weir,THg- total,18.2,ng/L,61922.2,Inlet,2757,g/day
"Mar 15-16, 2016",2016,Fremont Weir,TOC,5.18,mg/L as C,61922.2,Inlet,784.8,"1,000 kg/day"
"Mar 15-16, 2016",2016,Fremont Weir,TSS,167,mg/L,61922.2,Inlet,25300,"1,000 kg/day"
"Mar 15-16, 2016",2016,Fremont Weir,VSS,16,mg/L,61922.2,Inlet,2424,"1,000 kg/day"
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,Chloride- filtered,17,mg/L,1581,Inlet,65.76,"1,000 kg/day"
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,DOC,9.1,mg/L as C,1581,Inlet,35.2,"1,000 kg/day"
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,Iron- filtered,168,ug/L,1581,Inlet,649.8,kg/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,Manganese- filtered,4.8,ug/L,1581,Inlet,18.57,kg/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,MeHg- filtered,0.067,ng/L,1581,Inlet,0.2592,g/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,MeHg- particulate,0.061,ng/L,1581,Inlet,0.236,g/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,MeHg- total,0.128,ng/L,1581,Inlet,0.4951,g/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,POC,2.8,mg/L as C,1581,Inlet,10.83,"1,000 kg/day"
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,THg- filtered,2.6,ng/L,1581,Inlet,10.06,g/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,THg- particulate,6.3,ng/L,1581,Inlet,24.37,g/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,THg- total,8.9,ng/L,1581,Inlet,34.43,g/day
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,TOC,11.9,mg/L as C,1581,Inlet,46.03,"1,000 kg/day"
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,TSS,112,mg/L,1581,Inlet,433.2,"1,000 kg/day"
"Mar 15-16, 2016",2016,Knights Landing Ridge Cut,VSS,13,mg/L,1581,Inlet,50.28,"1,000 kg/day"
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,Chloride- filtered,9,mg/L,50.9,Inlet,1.121,"1,000 kg/day"
"Mar 15-16, 2016",2016,Putah Creek at Mace Blvd,DOC,6.3,mg/L as C,50.9,Inlet,0.7845,"1,000 kg/day"
